Tipo;Tiempo_CR;Tiempo_UTC;Lat;Lon;Profundidad_km;Magnitud_Mw;Acelaracion_cms2;Lugar_mayor_aceleracion
M;21/7/2019 21:36;22/7/2019 03:36;8,456;-82,98;23,6;3,9;6,9;Est Bio Osa Verde, Osa
M;21/7/2019 18:41;22/7/2019 00:41;8,221;-83,033;23,9;4,4;14,97;Laurel, Corredores
M;17/7/2019 05:10;17/7/2019 11:10;10,128;-85,711;28,7;3,6;6,47;Nosara
A;17/7/2019 02:54;17/7/2019 08:54;9,548;-84,161;30,4;4,2;16,69;CAIS Puriscal
M;14/7/2019 19:41;15/7/2019 01:41;9,493;-84,637;22,2;4;6,47;Jaco
M;13/7/2019 13:25;13/7/2019 19:25;8,43;-82,895;32,5;3,8;3,16;Est Bio Osa Verde, Osa
M;13/7/2019 13:17;13/7/2019 19:17;8,47;-83,011;17,1;4,3;12,66;Est Bio Osa Verde, Osa
M;11/7/2019 09:22;11/7/2019 15:22;10,589;-85,255;7,5;3,9;12,13;Bagaces, Guanacaste
M;11/7/2019 05:48;11/7/2019 11:48;8,493;-82,951;29,4;4,5;24,62;Est Bio Osa Verde, Osa
A;7/7/2019 18:09;8/7/2019 00:09;10,776;-85,742;65,3;5,3;15,64;Hosp. Liberia
M;7/7/2019 07:17;7/7/2019 13:17;8,6354;-84,556;10;4,5;3,99;Est Bio Osa Verde, Osa
M;7/7/2019 05:49;7/7/2019 11:49;8,565;-83,134;9,5;3,9;24,02;Est Bio Osa Verde, Osa
M;7/7/2019 03:28;7/7/2019 09:28;8,304;-82,726;34,5;4,1;3,09;Est Bio Osa Verde, Osa
M;6/7/2019 22:05;7/7/2019 04:05;8,455;-82,99;26,6;4;5;Est Bio Osa Verde, Osa
M;6/7/2019 15:05;6/7/2019 21:05;9,692;-84,083;0,2;3;5,9;Frailes
M;6/7/2019 07:09;6/7/2019 13:09;8,389;-82,853;34;4,2;4,37;Est Bio Osa Verde, Osa
M;6/7/2019 00:58;6/7/2019 06:58;8,591;-84,553;6,9;4,3;4,04;Est Bio Osa Verde, Osa
M;5/7/2019 20:22;6/7/2019 02:22;8,459;-83,002;17,1;3,6;1,32;Hosp C. Neily
M;2/7/2019 23:40;3/7/2019 05:40;9,629;-84,926;19,2;3,7;6,6;Paquera
M;2/7/2019 12:22;2/7/2019 18:22;8,455;-82,984;17,6;3,7;4,92;Est Bio Osa Verde, Osa
M;1/7/2019 20:45;2/7/2019 02:45;8,392;-82,866;36,1;4;4,55;Est Bio Osa Verde, Osa
M;1/7/2019 06:24;1/7/2019 12:24;8,38;-82,874;32,6;4,7;47,46;Est Bio Osa Verde, Osa
M;30/6/2019 09:54;30/6/2019 15:54;8,476;-83,001;16,1;4;15,38;Laurel, Corredores
M;30/6/2019 07:34;30/6/2019 13:34;8,445;-82,967;24,6;4;10,05;Est Bio Osa Verde, Osa
M;30/6/2019 07:34;30/6/2019 13:34;8,384;-82,903;32,6;4,1;10,05;Est Bio Osa Verde, Osa
M;30/6/2019 00:38;30/6/2019 06:38;8,394;-82,857;35,2;4,3;12,4;Est Bio Osa Verde, Osa
M;29/6/2019 12:42;29/6/2019 18:42;8,364;-82,861;39,6;4,2;5,41;Est Bio Osa Verde, Osa
A;28/6/2019 05:17;28/6/2019 11:17;8,445;-82,961;24;4,8;38,8;Est Bio Osa Verde, Osa
M;27/6/2019 23:38;28/6/2019 05:38;8,407;-82,84;32,9;4,3;13,26;Est Bio Osa Verde, Osa
M;27/6/2019 16:11;27/6/2019 22:11;8,449;-82,982;16,4;4,3;23,93;Est Bio Osa Verde, Osa
M;27/6/2019 07:36;27/6/2019 13:36;8,441;-82,965;26,8;4,7;11,65;Laurel, Corredores
M;27/6/2019 03:31;27/6/2019 09:31;8,41;-82,893;35;4,3;5,86;Hosp C. Neily
M;27/6/2019 00:09;27/6/2019 06:09;8,334;-82,826;37,3;4,1;3,63;Finca Naranjo,Corredores
M;26/6/2019 22:33;27/6/2019 04:33;8,418;-82,9;33,9;4,2;6,2;Hosp C. Neily
M;26/6/2019 21:13;27/6/2019 03:13;8,41;-82,891;37,8;3,9;1,87;Laurel, Corredores
M;26/6/2019 16:47;26/6/2019 22:47;8,425;-82,932;26,5;4,3;5,22;Hosp C. Neily
M;26/6/2019 14:31;26/6/2019 20:31;8,446;-82,958;34,5;4;2,24;Hosp C. Neily
A;26/6/2019 13:12;26/6/2019 19:12;8,401;-82,959;25,5;4,9;23,28;Hosp C. Neily
M;26/6/2019 00:19;26/6/2019 06:19;8,331;-82,874;28,3;4,2;4,69;Hosp C. Neily
M;25/6/2019 23:47;26/6/2019 05:47;8,45;-82,958;21;4,6;21,5;Hosp C. Neily
M;25/6/2019 23:39;26/6/2019 05:39;8,452;-82,951;19,7;4,2;5,45;Hosp C. Neily
A;25/6/2019 23:23;26/6/2019 05:23;8,423;-82,88;33,5;6,4;385,6;Finca Naranjo
M;19/6/2019 21:09;20/6/2019 03:09;9,625;-84,768;24,8;3,8;3,71;Jaco
M;18/6/2019 10:12;18/6/2019 16:12;10,315;-86,273;25,8;4,8;4,72;Canas
M;11/6/2019 15:10;11/6/2019 21:10;9,741;-83,97;2,2;3;8,77;Frailes
M;2/6/2019 21:04;3/6/2019 03:04;9,693;-84,213;54;3,8;2,58;Clinica Turrubares
A;1/6/2019 00:53;1/6/2019 06:53;9,498;-84,573;16,3;4,2;31,61;CTP Jaco
M;28/5/2019 12:42;28/5/2019 18:42;10,02;-83,967;10,7;3,6;13,26;Cascajal, Coronado
M;28/5/2019 02:10;28/5/2019 08:10;9,699;-84,408;40,8;4;4,77;Parrita
M;28/5/2019 01:36;28/5/2019 07:36;9,757;-84,243;60,8;3,6;1,86;Bebedero, Escazu
M;19/5/2019 16:49;19/5/2019 22:49;8,58;-83,063;29,4;4,2;14,74;Laurel, Corredores
A;12/5/2019 19:01;13/5/2019 01:01;9,644;-84,314;33,9;4,6;42,24;Cascajal, Coronado
M;12/5/2019 17:47;12/5/2019 23:47;9,792;-83,905;1,9;2,9;5,05;Agua Caliente
M;12/5/2019 17:09;12/5/2019 23:09;8,474;-82,897;27,7;4,1;7,36;Hosp C. Neily
M;12/5/2019 16:16;12/5/2019 22:16;8,524;-82,797;31,5;4,1;6,63;Hosp C. Neily
A;12/5/2019 13:24;12/5/2019 19:24;8,484;-82,925;29,3;6,1;185,91;Laurel, Corredores
M;9/5/2019 20:32;10/5/2019 02:32;9,929;-84,21;8,8;3,3;18,57;Bebedero, Escazu
M;9/5/2019 08:08;9/5/2019 14:08;10,049;-84,21;55,8;3,8;2,73;San Ignacio Acosta
M;8/5/2019 21:17;9/5/2019 03:17;8,555;-83,007;37,7;4,2;6,1;Laurel, Corredores
M;3/5/2019 15:30;3/5/2019 21:30;9,26;-83,318;23,1;4,7;9,4;Talamanca
M;3/5/2019 11:31;3/5/2019 17:31;10,211;-84,314;96,7;3,8;5,71;CAIS Puriscal
M;3/5/2019 06:34;3/5/2019 12:34;8,648;-83,251;20,3;4;9,74;Golfito CTP
M;30/4/2019 18:05;1/5/2019 00:05;8,886;-84,049;14,5;4,2;0,8;Bomberos Quepos
M;28/4/2019 23:15;29/4/2019 05:15;8,409;-83,041;9;4,6;26,87;Est Bio Osa Verde, Osa
M;28/4/2019 21:11;29/4/2019 03:11;8,419;-83,005;16,6;4,4;8,14;Est Bio Osa Verde, Osa
M;27/4/2019 16:35;27/4/2019 22:35;9,57;-83,979;20,2;3,4;3,61;Bebedero, Escazu
M;22/4/2019 21:04;23/4/2019 03:04;8,641;-83,257;22,6;3,8;8,83;Est Bio Osa Verde, Osa
M;18/4/2019 07:25;18/4/2019 13:25;9,31;-83,318;9,8;4,4;5,62;Buenos Aires
M;17/4/2019 16:40;17/4/2019 22:40;8,815;-83,028;26,2;3,8;2,12;Est Bio Osa Verde, Osa
M;17/4/2019 03:38;17/4/2019 09:38;8,319;-83,271;19;4,1;44,26;Est Bio Osa Verde, Osa
M;16/4/2019 05:44;16/4/2019 11:44;9,748;-84,032;2,9;2,7;2,71;Bebedero, Escazu
M;14/4/2019 04:54;14/4/2019 10:54;9,533;-84,133;28,9;3,3;1,62;Bebedero, Escazu
M;14/4/2019 02:30;14/4/2019 08:30;8,672;-83,235;17,4;4;10,08;Est Bio Osa Verde, Osa
M;12/4/2019 11:34;12/4/2019 17:34;9,795;-84,542;14,1;3,5;3,5;Atenas
M;9/4/2019 23:39;10/4/2019 05:39;10,6;-84,916;3,2;4,5;10,58;Nuevo Arenal
M;6/4/2019 08:11;6/4/2019 14:11;8,938;-84,182;20,4;4,5;3,92;Bomberos Quepos
M;4/4/2019 15:17;4/4/2019 21:17;9,285;-83,201;2,9;4;5,92;Hosp. B. Aires, Puntarenas
M;4/4/2019 13:20;4/4/2019 19:20;9,726;-83,93;4,2;3,6;13,17;Paraiso
M;3/4/2019 16:39;3/4/2019 22:39;9,936;-83,648;11,2;3,1;3,96;Turrialba
M;3/4/2019 10:35;3/4/2019 16:35;9,665;-84,878;21,2;4;22,17;Paquera
M;2/4/2019 23:28;3/4/2019 05:28;9,377;-83,169;2;3,9;11,63;Hosp. B. Aires, Puntarenas
A;1/4/2019 07:44;1/4/2019 13:44;9,459;-82,731;28,3;5;20,18;Talamanca
M;31/3/2019 01:40;31/3/2019 07:40;8,812;-83,439;30,1;3,7;5,73;Est Bio Osa Verde, Osa
A;29/3/2019 08:54;29/3/2019 14:54;9,434;-83,326;6,8;4,1;7,03;Buenos Aires
M;27/3/2019 14:41;27/3/2019 20:41;10,12;-83,225;18,9;3,7;4,07;Cruz Roja Batan
M;26/3/2019 21:43;27/3/2019 03:43;9,425;-84,646;19,6;3,8;3,43;Jaco
M;26/3/2019 10:33;26/3/2019 16:33;9;-82,836;27,6;4,1;3,96;OV-Coton, Coto Brus
M;22/3/2019 11:39;22/3/2019 17:39;9,895;-84,23;5,8;2,7;9,67;Bebedero, Escazu
M;17/3/2019 22:34;18/3/2019 04:34;9,626;-84,949;24,9;4;17,18;Paquera
A;16/3/2019 14:12;16/3/2019 20:12;9,561;-84,257;35,1;4;6,45;Fraijanes
M;15/3/2019 05:32;15/3/2019 11:32;9,134;-83,401;42,1;3,4;0,92;Potrero Grande
M;13/3/2019 10:52;13/3/2019 16:52;9,525;-84,317;52,9;3,7;2,66;Bebedero, Escazu
M;12/3/2019 03:47;12/3/2019 09:47;10,356;-86,194;21,2;5;2,85;Liceo Santa Cruz
M;2/3/2019 11:44;2/3/2019 17:44;9,758;-83,92;9,8;3,4;8,86;Tobosi, Cartago
M;26/2/2019 05:31;26/2/2019 11:31;8,13;-82,854;14,9;4,5;6,05;Finca Naranjo,Corredores
M;24/2/2019 21:05;25/2/2019 03:05;9,994;-83,475;19;3,6;3,89;INS Siquirres
M;22/2/2019 11:12;22/2/2019 17:12;8,242;-83,021;25,4;4,6;7,54;Finca Naranjo,Corredores
M;19/2/2019 22:06;20/2/2019 04:06;9,484;-84,555;16,9;4,1;4,63;Parrita
M;13/2/2019 01:23;13/2/2019 07:23;8,872;-84,135;18,1;4,7;4,32;Bomberos Quepos
M;4/2/2019 01:36;4/2/2019 07:36;9,763;-83,882;0,8;3,7;47,83;Orosi
M;1/2/2019 17:25;1/2/2019 23:25;10,163;-84,206;11,4;3,5;4,87;Fraijanes
A;31/1/2019 07:09;31/1/2019 13:09;8,812;-83,919;9,3;5,3;24,93;Puerto Jimenez
M;23/1/2019 06:41;23/1/2019 12:41;9,531;-84,164;38;3,4;2,72;San Ignacio Acosta
A;15/1/2019 19:41;16/1/2019 01:41;9,373;-84,205;23,3;4;3,88;Cascajal, Coronado
M;14/1/2019 13:23;14/1/2019 19:23;8,64;-83,248;19,6;3,7;3,42;Cascajal, Coronado
M;12/1/2019 17:43;12/1/2019 23:43;8,858;-83,039;34,2;3,7;1,65;Potrero Grande
A;10/1/2019 01:44;10/1/2019 07:44;10,133;-84,849;51,9;4;3,92;Cobano
M;2/1/2019 04:50;2/1/2019 10:50;9,829;-84,046;10,5;2,7;6,65;Aserri
M;26/12/2018 01:09;26/12/2018 07:09;9,963;-84,104;93,2;3,9;5,83;Ebais Cd. Colon
M;23/12/2018 15:54;23/12/2018 21:54;9,767;-83,968;8,8;3;6,95;Frailes
M;23/12/2018 03:55;23/12/2018 09:55;8,561;-83,662;5,6;4,7;2,98;Lic Finca Alajuela, Osa
